"start","end","survey_type","survey_id","survey_version","country","community","sex","boat_status","boat_power","boat_length","choice","package_nopackage","fishing_organization","punishment_severity","mpa","age","years_fishing","education","digits","gear_handline","gear_spear","gear_traps","gear_gillnet","gear_mobilenet","gear_statline","gear_buceo","gear_other","other_gear","fishtech_vhf","fishtech_fishfinder","fishtech_survcam","fishtech_catchapp","fishtech_gps","fishtech_vesseltrack","fishtech_other","fishtech_none","other_fishtech","enforcement_community_members","enforcement_village_leader","enforcement_village_gov","enforcement_provincial_gov","enforcement_national_gov","enforcement_none","enforcement_other","restriction_gear","restriction_size","restriction_season","restriction_spacial","restriction_quota","restriction_other","restriction_none","rank_one","rank_two","rank_three","rank_four","income_usd"
"2019-07-04 06:45:43","2019-07-04 06:52:45","data",3039,7,"IND","MAK","M","share_employee","yes",15,1,"no_package","no","strong","no",40,25,"some_hs",0,0,0,0,0,1,0,0,0,"Purse seine",0,0,0,0,0,0,0,1,NA,0,0,0,1,1,0,0,0,0,0,0,0,0,1,"weather","trash_pollutin","iuu","corruption",142
"2019-07-04 07:12:10","2019-07-04 07:21:54","data",3040,8,"IND","MAK","M","own","yes",7,2,"no_package","no","strong","no",39,25,"some_hs",0,0,0,0,0,1,0,0,0,"Jaring tarik",0,0,0,0,0,0,0,1,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"weather","trash_pollutin","iuu","corruption",284
"2019-07-04 07:30:55","2019-07-04 07:43:09","data",3041,9,"IND","MAK","M","share_employee","yes",15,1,"package_chosen","yes","strong","no",40,25,"some_hs",0,0,0,0,0,1,0,0,0,"Purse seine",0,0,0,0,0,0,0,1,NA,0,0,0,1,1,0,0,1,0,0,0,0,0,0,"weather","trash_pollutin","iuu","corruption",178
"2019-07-04 07:44:49","2019-07-04 07:58:09","data",3042,10,"IND","MAK","M","own","yes",12,2,"package_chosen","yes","strong","no",33,20,"hs",0,0,0,0,0,1,0,0,1,"Purse seine",1,1,0,0,0,1,0,0,NA,0,0,0,1,1,0,0,1,0,0,0,0,0,0,"weather","trash_pollutin","iuu","corruption",213
"2019-07-04 07:58:42","2019-07-04 08:14:28","data",3043,11,"IND","MAK","M","share_employee","yes",15,1,"package_chosen","no","strong","no",38,25,"some_hs",0,0,0,0,0,1,0,0,0,"Purse seine",0,0,0,0,0,0,0,1,NA,0,0,0,1,1,0,0,1,0,0,0,0,0,0,"weather","trash_pollutin","iuu","corruption",142
"2019-07-04 08:15:24","2019-07-05 03:20:51","data",3044,12,"IND","MAK","M","share_employee","yes",12,1,"package_chosen","no","strong","no",38,20,"some_hs",0,0,0,0,0,1,0,0,0,"Purse seine",0,0,0,0,0,0,0,1,NA,0,0,0,1,1,0,0,1,0,0,0,0,0,0,"weather","trash_pollutin","iuu","corruption",142
"2019-07-04 08:59:44","2019-07-05 03:21:00","data",3045,13,"IND","MAK","M","share_employee","yes",8,2,"package_chosen","no","strong","no",40,20,"some_hs",0,0,0,1,0,0,0,0,0,"0",0,0,0,0,0,0,1,0,"Kompas",0,0,0,1,1,0,0,1,0,0,0,0,0,0,"weather","trash_pollutin","iuu","corruption",142
"2019-07-04 09:20:11","2019-07-05 05:55:33","data",3046,14,"IND","MAK","M","own","yes",8,2,"no_package","no","none","no",39,12,"some_hs",0,0,0,0,0,0,0,0,1,"Jaring angkat",0,0,0,0,0,0,0,1,NA,0,0,0,1,1,0,0,0,0,0,0,0,0,1,"weather","trash_pollutin","iuu","corruption",142
"2019-07-05 03:09:44","2019-07-05 03:28:10","data",3047,4,"IND","MAK","M","share_employee","yes",7,2,"no_package","yes","weak","yes",43,20,"some_hs",0,0,0,0,1,0,0,0,0,"0",0,0,0,0,0,0,0,1,NA,0,0,0,1,0,0,0,1,0,0,1,0,0,0,"weather","trash_pollutin","iuu","corruption",71
"2019-07-05 03:30:32","2019-07-05 03:41:17","data",3048,6,"IND","MAK","M","share_employee","yes",9,2,"package_chosen","no","weak","no",29,10,"some_hs",0,0,0,0,1,0,0,0,0,"0",0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"weather","iuu","corruption","trash_pollutin",106
"2019-07-05 03:36:41","2019-07-05 03:49:42","data",3049,4,"IND","MAK","M","share_employee","yes",6,1,"package_chosen","no","none","no",55,40,"some_hs",0,0,0,0,0,0,0,0,1,"Jaring angkat",0,0,0,0,0,0,0,1,NA,0,0,0,1,1,0,0,0,0,0,0,0,0,1,"weather","trash_pollutin","iuu","corruption",142
